created_at	id	text	truncated	source	in_reply_to_status_id	in_reply_to_status_id_str	in_reply_to_user_id	in_reply_to_user_id_str	in_reply_to_screen_name	geo	coordinates	place	contributors	is_quote_status	retweet_count	favorite_count	favorited	retweeted	possibly_sensitive	lang	User_id	User_name	User_screen_name	User_location	User_url	User_followers_count	User_friends_count	User_favourites_count	User_utc_offset	time_zone	Tweet_data	
Tue Apr 26 00:39:13 +0000 2022	1518751519285428224	RT @Chair_Finance: #Airdrop #Giveaway 🥳.🤑$1000 FIRE + $1000 XBNCH🤑..-Retweet &amp; Like &amp; @ 5ppl.-Join https://t.co/rBZjPjtLSe.-Follow @Element…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	1055	0	False	False	False	en	1517826255156133889	Malichi	Malichi12660474		None	0	74	38	None	None	#Airdrop #Giveaway 🥳.🤑$1000 FIRE + $1000 XBNCH🤑..-Retweet &amp; Like &amp; @ 5ppl.-Join https://t.co/rBZjPjtLSe.-Follow @ElementX_BSC &amp; @Chair_Finance.-Join https://t.co/37BPQOOwLv &amp; https://t.co/r6gvmrcFrB.-Browse walkthrough👉https://t.co/EtXyaFBbXk..Form✍️https://t.co/Hs21aIskSg https://t.co/FRB9SbSopP
Tue Apr 26 00:39:13 +0000 2022	1518751519075676166	RT @djrothkopf: The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	12983	0	False	False		en	11197802	krystalball	kbhasadog1		None	1741	3582	84278	None	None	The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers 5 and 6 started Google. Numbers 4 and 9 started Microsoft. Number 10 owns Bloomberg. Free speech? You decide.
Tue Apr 26 00:39:13 +0000 2022	1518751518995980289	RT @Mariavlamnslzt1: Anime Naruto Porn snxt9nfc80 United States .. https://t.co/C95zYAqrQD	False	<a href="http://nositeforabot.com" rel="nofollow">Naruto Rtbot</a>	None	None	None	None	None	None	None	None	None	False	1	0	False	False	False	en	1237415481717469184	Naruto Bot	rtnarutobot	**:38	None	844	0	1	None	None	Anime Naruto Porn snxt9nfc80 United States .. https://t.co/C95zYAqrQD
Tue Apr 26 00:39:13 +0000 2022	1518751516911611904	RT @RainyDhiya: So I have been ranting about one particular clothing brand (@hijabistahub__ )in twitter and I have not yet receive any upda…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	438	0	False	False		en	1386705954192850950	amni	meniessss	Malaysia	None	27	105	11463	None	None	So I have been ranting about one particular clothing brand (@hijabistahub__ )in twitter and I have not yet receive any update from them until now...So I google on how to submit official complaint on this issue and found out that I can report it online via......(A thread) 1/7
Tue Apr 26 00:39:13 +0000 2022	1518751516714500096	RT @HSWC__yunseo: ‧⁺ ₊˚ˑ  ☃︎  ₊˚ˑ ⋆｡ ..#HSWCommu..– 박윤서 ; 𝐏𝐚𝐫𝐤 𝐘𝐮𝐧𝐬𝐞𝐨.– 𝐏𝐫𝐨𝐬𝐞𝐜𝐮𝐭𝐨𝐫 𝐂𝐥𝐚𝐬𝐬𝐫𝐨𝐨𝐦 𝐘.𝟏.– 𝐧𝐞𝐫𝐝, 𝐮𝐧𝐭𝐚𝐥𝐤𝐚𝐭𝐢𝐯𝐞.– 𝐟𝐫𝐢𝐞𝐧𝐝 𝐳𝐨𝐧𝐞 𝐨𝐧𝐥𝐲..𝐃𝐨…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	10	0	False	False		en	1393157723500421120	𝚂𝚘𝚛𝚊 🍊ˎˊ˗	KimSora_HSWC		https://t.co/DGaUt2jqmf	70	78	220	None	None	‧⁺ ₊˚ˑ  ☃︎  ₊˚ˑ ⋆｡ ..#HSWCommu..– 박윤서 ; 𝐏𝐚𝐫𝐤 𝐘𝐮𝐧𝐬𝐞𝐨.– 𝐏𝐫𝐨𝐬𝐞𝐜𝐮𝐭𝐨𝐫 𝐂𝐥𝐚𝐬𝐬𝐫𝐨𝐨𝐦 𝐘.𝟏.– 𝐧𝐞𝐫𝐝, 𝐮𝐧𝐭𝐚𝐥𝐤𝐚𝐭𝐢𝐯𝐞.– 𝐟𝐫𝐢𝐞𝐧𝐝 𝐳𝐨𝐧𝐞 𝐨𝐧𝐥𝐲..𝐃𝐨𝐜 : https://t.co/iKQBxzzJL1..///..ชวนพูดคุย/โรล/เวิ่นเว้อ all ok ! 🙆‍♀️✨ https://t.co/kshfl2KbLu
Tue Apr 26 00:39:13 +0000 2022	1518751515984375809	RT @razor_network: #RAZOR Public Incentivised Testing Phase-2 is almost here! ..💠 Run Razor Network node.💠 Delegate test $RAZOR.⛓️ #SKALE T…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	293	0	False	False		en	966396591081795584	madl33ts.888 (🦔,🦔)	0xgasm		None	78	1000	2415	None	None	#RAZOR Public Incentivised Testing Phase-2 is almost here! ..💠 Run Razor Network node.💠 Delegate test $RAZOR.⛓️ #SKALE TESTNET..🤓 Interested? .Fill out this form 👉 https://t.co/ISUCB2TQWo ..💰 1,000,000 $RAZOR as testing rewards!. .Program structure 👇.https://t.co/EQTI4Ku1RR
Tue Apr 26 00:39:12 +0000 2022	1518751511622336513	RT @BT21_: Ride on the warm, cherry blossom breeze with BT21!..What are your favorite flowers, UNISTARS??..Please share with us through the…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	3651	0	False	False		en	1060715228961357825	🍓	h0b3rri	Hope World	None	6	18	7107	None	None	Ride on the warm, cherry blossom breeze with BT21!..What are your favorite flowers, UNISTARS??..Please share with us through the comments 🌸🌷🌹🌻🌼..👉📱Link for wallpaper download: https://t.co/Rg0rsywW13..#BT21 #spring #flowers #springvibes #wallpaper #lockscreen #download https://t.co/NAbbK5fU3p
Tue Apr 26 00:39:11 +0000 2022	1518751511001505792	RT @elonmusk: Maybe worth considering chloroquine for C19 https://t.co/LEYob7Jofr	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	11237	0	False	False	False	en	1282423175360376832	David	JustDavid2020	Earth 	None	335	553	14905	None	None	Maybe worth considering chloroquine for C19 https://t.co/LEYob7Jofr
Tue Apr 26 00:39:11 +0000 2022	1518751510888579072	RT @MissyCryptonia: $100 | one winner | 12 hours 🎁..•RT This &amp; Follow @anndylian &amp; @HighSloths + RT Their 📌.•Join DC : https://t.co/NMGofah…	False	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	None	None	None	None	None	None	None	None	None	False	32	0	False	False		en	1716805364	Jisatria | Bigwin 🍀	Hei_Aji	Jakarta Timur, DKI Jakarta	None	407	1005	5936	None	None	$100 | one winner | 12 hours 🎁..•RT This &amp; Follow @anndylian &amp; @HighSloths + RT Their 📌.•Join DC : https://t.co/NMGofahpGr .•Join WL :https://t.co/pVt5cbL94r..Post Proof
Tue Apr 26 00:39:11 +0000 2022	1518751510737399808	RT @djrothkopf: The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers…	False	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	None	None	None	None	None	None	None	None	None	False	12983	0	False	False		en	1084799812434870273	Michael Sobel	mdsobel22	Massachusetts, USA	None	57	136	18000	None	None	The richest guy on the 2021 Forbes 400 owns the Washington Post. Number 2 now owns Twitter. Number 3 owns Facebook. Numbers 5 and 6 started Google. Numbers 4 and 9 started Microsoft. Number 10 owns Bloomberg. Free speech? You decide.
